,nro lista,Partido,votos,votos_totales_circuito,circuito,nombre_archivo,seccional,porcentaje_circuito
17,P40,MOVIMIENTO LIBRES DEL SUR,280,9046,011I,seccional 11I,9,0.030952907362370108
6,A500,CORDOBA CAMBIA,1779,8623,010F,seccional 10F,11,0.20630870926591674
7,P217,ENCUENTRO VECINAL CÓRDOBA,563,8623,010F,seccional 10F,11,0.06529050214542502
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),29,8623,010F,seccional 10F,11,0.0033630986895512
9,3,UNIÓN CÍVICA RADICAL,1730,8623,010F,seccional 10F,11,0.2006262321697785
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,417,8623,010F,seccional 10F,11,0.04835903977733967
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,27,8623,010F,seccional 10F,11,0.0031311608488924967
12,A601,HACEMOS POR CORDOBA,3336,8623,010F,seccional 10F,9,0.38687231821871737
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,32,8623,010F,seccional 10F,9,0.0037110054505392555
14,P191,VECINALISMO INDEPENDIENTE,146,8623,010F,seccional 10F,9,0.01693146236808535
15,P200,PARTIDO UNION CIUDADANA,56,8623,010F,seccional 10F,9,0.006494259538443697
16,A300,MST - NUEVA IZQUIERDA,139,8623,010F,seccional 10F,9,0.01611967992577989
17,P40,MOVIMIENTO LIBRES DEL SUR,354,8623,010F,seccional 10F,9,0.04105299779659052
6,A500,CORDOBA CAMBIA,414,2491,005E,seccional 5E,11,0.16619831393014853
7,P217,ENCUENTRO VECINAL CÓRDOBA,99,2491,005E,seccional 5E,11,0.03974307507025291
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),27,2491,005E,seccional 5E,11,0.010839020473705338
9,3,UNIÓN CÍVICA RADICAL,343,2491,005E,seccional 5E,11,0.1376957045363308
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,43,2491,005E,seccional 5E,11,0.017262143717382578
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,14,2491,005E,seccional 5E,11,0.005620232838217583
12,A601,HACEMOS POR CORDOBA,1361,2491,005E,seccional 5E,9,0.546366920915295
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,9,2491,005E,seccional 5E,9,0.0036130068245684463
14,P191,VECINALISMO INDEPENDIENTE,47,2491,005E,seccional 5E,9,0.018867924528301886
15,P200,PARTIDO UNION CIUDADANA,12,2491,005E,seccional 5E,9,0.004817342432757929
16,A300,MST - NUEVA IZQUIERDA,27,2491,005E,seccional 5E,9,0.010839020473705338
17,P40,MOVIMIENTO LIBRES DEL SUR,89,2491,005E,seccional 5E,9,0.035728623042954634
6,A500,CORDOBA CAMBIA,1156,4879,014B,seccional 14B,11,0.23693379790940766
7,P217,ENCUENTRO VECINAL CÓRDOBA,324,4879,014B,seccional 14B,11,0.0664070506251281
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),10,4879,014B,seccional 14B,11,0.0020496003279360524
9,3,UNIÓN CÍVICA RADICAL,1054,4879,014B,seccional 14B,11,0.21602787456445993
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,288,4879,014B,seccional 14B,11,0.05902848944455831
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,12,4879,014B,seccional 14B,11,0.0024595203935232628
12,A601,HACEMOS POR CORDOBA,1599,4879,014B,seccional 14B,9,0.3277310924369748
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,4,4879,014B,seccional 14B,9,0.000819840131174421
14,P191,VECINALISMO INDEPENDIENTE,66,4879,014B,seccional 14B,9,0.013527362164377946
15,P200,PARTIDO UNION CIUDADANA,42,4879,014B,seccional 14B,9,0.00860832137733142
16,A300,MST - NUEVA IZQUIERDA,102,4879,014B,seccional 14B,9,0.020905923344947737
17,P40,MOVIMIENTO LIBRES DEL SUR,213,4879,014B,seccional 14B,9,0.04365648698503792
6,A500,CORDOBA CAMBIA,59,806,013O,seccional 13O,11,0.07320099255583126
7,P217,ENCUENTRO VECINAL CÓRDOBA,43,806,013O,seccional 13O,11,0.05334987593052109
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),1,806,013O,seccional 13O,11,0.0012406947890818859
9,3,UNIÓN CÍVICA RADICAL,48,806,013O,seccional 13O,11,0.05955334987593052
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,20,806,013O,seccional 13O,11,0.02481389578163772
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,0,806,013O,seccional 13O,11,0.0
12,A601,HACEMOS POR CORDOBA,598,806,013O,seccional 13O,9,0.7419354838709677
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,3,806,013O,seccional 13O,9,0.0037220843672456576
14,P191,VECINALISMO INDEPENDIENTE,4,806,013O,seccional 13O,9,0.004962779156327543
15,P200,PARTIDO UNION CIUDADANA,0,806,013O,seccional 13O,9,0.0
16,A300,MST - NUEVA IZQUIERDA,7,806,013O,seccional 13O,9,0.008684863523573201
17,P40,MOVIMIENTO LIBRES DEL SUR,20,806,013O,seccional 13O,9,0.02481389578163772
6,A500,CORDOBA CAMBIA,1067,3833,009G,seccional 9G,11,0.2783720323506392
7,P217,ENCUENTRO VECINAL CÓRDOBA,208,3833,009G,seccional 9G,11,0.05426558831202713
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),8,3833,009G,seccional 9G,11,0.0020871380120010435
9,3,UNIÓN CÍVICA RADICAL,766,3833,009G,seccional 9G,11,0.1998434646490999
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,227,3833,009G,seccional 9G,11,0.05922254109052961
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,11,3833,009G,seccional 9G,11,0.002869814766501435
12,A601,HACEMOS POR CORDOBA,1154,3833,009G,seccional 9G,9,0.30106965823115056
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,16,3833,009G,seccional 9G,9,0.004174276024002087
14,P191,VECINALISMO INDEPENDIENTE,73,3833,009G,seccional 9G,9,0.01904513435950952
15,P200,PARTIDO UNION CIUDADANA,31,3833,009G,seccional 9G,9,0.008087659796504044
16,A300,MST - NUEVA IZQUIERDA,86,3833,009G,seccional 9G,9,0.02243673362901122
17,P40,MOVIMIENTO LIBRES DEL SUR,178,3833,009G,seccional 9G,9,0.04643882076702322
6,A500,CORDOBA CAMBIA,2062,9533,005G,seccional 5G,11,0.21630126927514948
7,P217,ENCUENTRO VECINAL CÓRDOBA,485,9533,005G,seccional 5G,11,0.050875904751914405
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),41,9533,005G,seccional 5G,11,0.0043008496800587435
9,3,UNIÓN CÍVICA RADICAL,2011,9533,005G,seccional 5G,11,0.21095143186824714
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,468,9533,005G,seccional 5G,11,0.04909262561628029
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,28,9533,005G,seccional 5G,11,0.0029371656351620686
12,A601,HACEMOS POR CORDOBA,3581,9533,005G,seccional 5G,9,0.3756425049826917
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,37,9533,005G,seccional 5G,9,0.003881254589321305
14,P191,VECINALISMO INDEPENDIENTE,112,9533,005G,seccional 5G,9,0.011748662540648274
15,P200,PARTIDO UNION CIUDADANA,72,9533,005G,seccional 5G,9,0.007552711633273891
16,A300,MST - NUEVA IZQUIERDA,150,9533,005G,seccional 5G,9,0.01573481590265394
17,P40,MOVIMIENTO LIBRES DEL SUR,466,9533,005G,seccional 5G,9,0.04888282807091157
6,A500,CORDOBA CAMBIA,2489,10849,007E,seccional 7E,11,0.22942206654991243
7,P217,ENCUENTRO VECINAL CÓRDOBA,509,10849,007E,seccional 7E,11,0.046916766522260116
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),22,10849,007E,seccional 7E,11,0.0020278366669739148
9,3,UNIÓN CÍVICA RADICAL,2272,10849,007E,seccional 7E,11,0.20942022306203337
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,492,10849,007E,seccional 7E,11,0.045349801825053
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,196,10849,007E,seccional 7E,11,0.018066181214858514
12,A601,HACEMOS POR CORDOBA,3920,10849,007E,seccional 7E,9,0.36132362429717024
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,25,10849,007E,seccional 7E,9,0.0023043598488339937
14,P191,VECINALISMO INDEPENDIENTE,102,10849,007E,seccional 7E,9,0.009401788183242695
15,P200,PARTIDO UNION CIUDADANA,76,10849,007E,seccional 7E,9,0.0070052539404553416
16,A300,MST - NUEVA IZQUIERDA,217,10849,007E,seccional 7E,9,0.02000184348787907
17,P40,MOVIMIENTO LIBRES DEL SUR,507,10849,007E,seccional 7E,9,0.046732417734353396
6,A500,CORDOBA CAMBIA,813,3539,014C,seccional 14C,11,0.22972591127437128
7,P217,ENCUENTRO VECINAL CÓRDOBA,231,3539,014C,seccional 14C,11,0.06527267589714608
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),13,3539,014C,seccional 14C,11,0.003673354054817745
9,3,UNIÓN CÍVICA RADICAL,815,3539,014C,seccional 14C,11,0.23029104266742018
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,218,3539,014C,seccional 14C,11,0.061599321842328345
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,11,3539,014C,seccional 14C,11,0.0031082226617688614
12,A601,HACEMOS POR CORDOBA,1105,3539,014C,seccional 14C,9,0.3122350946595083
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,6,3539,014C,seccional 14C,9,0.0016953941791466515
14,P191,VECINALISMO INDEPENDIENTE,72,3539,014C,seccional 14C,9,0.020344730149759818
15,P200,PARTIDO UNION CIUDADANA,47,3539,014C,seccional 14C,9,0.013280587736648771
16,A300,MST - NUEVA IZQUIERDA,65,3539,014C,seccional 14C,9,0.018366770274088725
17,P40,MOVIMIENTO LIBRES DEL SUR,136,3539,014C,seccional 14C,9,0.0384289347273241
6,A500,CORDOBA CAMBIA,395,2591,008A,seccional 8A,11,0.15245079120030877
7,P217,ENCUENTRO VECINAL CÓRDOBA,132,2591,008A,seccional 8A,11,0.05094558085681204
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),7,2591,008A,seccional 8A,11,0.002701659590891548
9,3,UNIÓN CÍVICA RADICAL,447,2591,008A,seccional 8A,11,0.1725202624469317
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,48,2591,008A,seccional 8A,11,0.018525665766113468
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,15,2591,008A,seccional 8A,11,0.005789270551910459
12,A601,HACEMOS POR CORDOBA,1369,2591,008A,seccional 8A,9,0.5283674257043612
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,4,2591,008A,seccional 8A,9,0.0015438054805094559
14,P191,VECINALISMO INDEPENDIENTE,26,2591,008A,seccional 8A,9,0.010034735623311463
15,P200,PARTIDO UNION CIUDADANA,15,2591,008A,seccional 8A,9,0.005789270551910459
16,A300,MST - NUEVA IZQUIERDA,39,2591,008A,seccional 8A,9,0.015052103434967195
17,P40,MOVIMIENTO LIBRES DEL SUR,77,2591,008A,seccional 8A,9,0.029718255499807025
6,A500,CORDOBA CAMBIA,468,2922,012E,seccional 12E,11,0.1601642710472279
7,P217,ENCUENTRO VECINAL CÓRDOBA,118,2922,012E,seccional 12E,11,0.040383299110198494
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),7,2922,012E,seccional 12E,11,0.0023956194387405884
9,3,UNIÓN CÍVICA RADICAL,461,2922,012E,seccional 12E,11,0.15776865160848733
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,69,2922,012E,seccional 12E,11,0.023613963039014373
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,10,2922,012E,seccional 12E,11,0.0034223134839151265
12,A601,HACEMOS POR CORDOBA,1585,2922,012E,seccional 12E,9,0.5424366872005476
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,13,2922,012E,seccional 12E,9,0.004449007529089665
14,P191,VECINALISMO INDEPENDIENTE,23,2922,012E,seccional 12E,9,0.00787132101300479
15,P200,PARTIDO UNION CIUDADANA,6,2922,012E,seccional 12E,9,0.002053388090349076
16,A300,MST - NUEVA IZQUIERDA,25,2922,012E,seccional 12E,9,0.008555783709787816
17,P40,MOVIMIENTO LIBRES DEL SUR,119,2922,012E,seccional 12E,9,0.04072553045859001
6,A500,CORDOBA CAMBIA,16,141,006B,seccional 6B,11,0.11347517730496454
7,P217,ENCUENTRO VECINAL CÓRDOBA,4,141,006B,seccional 6B,11,0.028368794326241134
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),0,141,006B,seccional 6B,11,0.0
9,3,UNIÓN CÍVICA RADICAL,22,141,006B,seccional 6B,11,0.15602836879432624
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,4,141,006B,seccional 6B,11,0.028368794326241134
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,0,141,006B,seccional 6B,11,0.0
12,A601,HACEMOS POR CORDOBA,84,141,006B,seccional 6B,9,0.5957446808510638
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,1,141,006B,seccional 6B,9,0.0070921985815602835
14,P191,VECINALISMO INDEPENDIENTE,3,141,006B,seccional 6B,9,0.02127659574468085
15,P200,PARTIDO UNION CIUDADANA,0,141,006B,seccional 6B,9,0.0
16,A300,MST - NUEVA IZQUIERDA,1,141,006B,seccional 6B,9,0.0070921985815602835
17,P40,MOVIMIENTO LIBRES DEL SUR,5,141,006B,seccional 6B,9,0.03546099290780142
6,A500,CORDOBA CAMBIA,136,1078,010M,seccional 10M,11,0.1261595547309833
7,P217,ENCUENTRO VECINAL CÓRDOBA,28,1078,010M,seccional 10M,11,0.025974025974025976
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),0,1078,010M,seccional 10M,11,0.0
9,3,UNIÓN CÍVICA RADICAL,122,1078,010M,seccional 10M,11,0.11317254174397032
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,62,1078,010M,seccional 10M,11,0.0575139146567718
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,3,1078,010M,seccional 10M,11,0.0027829313543599257
12,A601,HACEMOS POR CORDOBA,678,1078,010M,seccional 10M,9,0.6289424860853432
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,2,1078,010M,seccional 10M,9,0.0018552875695732839
14,P191,VECINALISMO INDEPENDIENTE,7,1078,010M,seccional 10M,9,0.006493506493506494
15,P200,PARTIDO UNION CIUDADANA,3,1078,010M,seccional 10M,9,0.0027829313543599257
16,A300,MST - NUEVA IZQUIERDA,10,1078,010M,seccional 10M,9,0.00927643784786642
17,P40,MOVIMIENTO LIBRES DEL SUR,27,1078,010M,seccional 10M,9,0.02504638218923933
6,A500,CORDOBA CAMBIA,143,731,013E,seccional 13E,11,0.19562243502051985
7,P217,ENCUENTRO VECINAL CÓRDOBA,47,731,013E,seccional 13E,11,0.06429548563611491
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),3,731,013E,seccional 13E,11,0.004103967168262654
9,3,UNIÓN CÍVICA RADICAL,112,731,013E,seccional 13E,11,0.15321477428180574
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,13,731,013E,seccional 13E,11,0.017783857729138167
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,1,731,013E,seccional 13E,11,0.0013679890560875513
12,A601,HACEMOS POR CORDOBA,367,731,013E,seccional 13E,9,0.5020519835841313
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,2,731,013E,seccional 13E,9,0.0027359781121751026
14,P191,VECINALISMO INDEPENDIENTE,5,731,013E,seccional 13E,9,0.006839945280437756
15,P200,PARTIDO UNION CIUDADANA,4,731,013E,seccional 13E,9,0.005471956224350205
16,A300,MST - NUEVA IZQUIERDA,11,731,013E,seccional 13E,9,0.015047879616963064
17,P40,MOVIMIENTO LIBRES DEL SUR,17,731,013E,seccional 13E,9,0.023255813953488372
6,A500,CORDOBA CAMBIA,883,4268,014E,seccional 14E,11,0.20688847235238988
7,P217,ENCUENTRO VECINAL CÓRDOBA,245,4268,014E,seccional 14E,11,0.05740393626991565
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),17,4268,014E,seccional 14E,11,0.003983130271790066
9,3,UNIÓN CÍVICA RADICAL,786,4268,014E,seccional 14E,11,0.18416119962511715
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,195,4268,014E,seccional 14E,11,0.045688847235238986
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,12,4268,014E,seccional 14E,11,0.0028116213683223993
12,A601,HACEMOS POR CORDOBA,1734,4268,014E,seccional 14E,9,0.4062792877225867
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,8,4268,014E,seccional 14E,9,0.0018744142455482662
14,P191,VECINALISMO INDEPENDIENTE,46,4268,014E,seccional 14E,9,0.01077788191190253
15,P200,PARTIDO UNION CIUDADANA,54,4268,014E,seccional 14E,9,0.012652296157450796
16,A300,MST - NUEVA IZQUIERDA,82,4268,014E,seccional 14E,9,0.019212746016869727
17,P40,MOVIMIENTO LIBRES DEL SUR,199,4268,014E,seccional 14E,9,0.04662605435801312
6,A500,CORDOBA CAMBIA,53,402,0008,seccional 8,11,0.1318407960199005
7,P217,ENCUENTRO VECINAL CÓRDOBA,26,402,0008,seccional 8,11,0.06467661691542288
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),0,402,0008,seccional 8,11,0.0
9,3,UNIÓN CÍVICA RADICAL,55,402,0008,seccional 8,11,0.13681592039800994
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,4,402,0008,seccional 8,11,0.009950248756218905
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,1,402,0008,seccional 8,11,0.0024875621890547263
12,A601,HACEMOS POR CORDOBA,236,402,0008,seccional 8,9,0.5870646766169154
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,3,402,0008,seccional 8,9,0.007462686567164179
14,P191,VECINALISMO INDEPENDIENTE,2,402,0008,seccional 8,9,0.004975124378109453
15,P200,PARTIDO UNION CIUDADANA,2,402,0008,seccional 8,9,0.004975124378109453
16,A300,MST - NUEVA IZQUIERDA,9,402,0008,seccional 8,9,0.022388059701492536
17,P40,MOVIMIENTO LIBRES DEL SUR,8,402,0008,seccional 8,9,0.01990049751243781
6,A500,CORDOBA CAMBIA,892,4702,006F,seccional 6F,11,0.18970650786899193
7,P217,ENCUENTRO VECINAL CÓRDOBA,178,4702,006F,seccional 6F,11,0.03785623139089749
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),68,4702,006F,seccional 6F,11,0.01446193109315185
9,3,UNIÓN CÍVICA RADICAL,619,4702,006F,seccional 6F,11,0.1316461080391323
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,156,4702,006F,seccional 6F,11,0.03317737133134836
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,107,4702,006F,seccional 6F,11,0.022756273925988942
12,A601,HACEMOS POR CORDOBA,2342,4702,006F,seccional 6F,9,0.4980859208847299
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,12,4702,006F,seccional 6F,9,0.002552105487026797
14,P191,VECINALISMO INDEPENDIENTE,48,4702,006F,seccional 6F,9,0.010208421948107189
15,P200,PARTIDO UNION CIUDADANA,24,4702,006F,seccional 6F,9,0.005104210974053594
16,A300,MST - NUEVA IZQUIERDA,65,4702,006F,seccional 6F,9,0.013823904721395152
17,P40,MOVIMIENTO LIBRES DEL SUR,178,4702,006F,seccional 6F,9,0.03785623139089749
6,A500,CORDOBA CAMBIA,2947,15531,010L,seccional 10L,11,0.18974953319168114
7,P217,ENCUENTRO VECINAL CÓRDOBA,605,15531,010L,seccional 10L,11,0.03895434936578456
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),91,15531,010L,seccional 10L,11,0.005859249243448586
9,3,UNIÓN CÍVICA RADICAL,2023,15531,010L,seccional 10L,11,0.13025561779666472
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,418,15531,010L,seccional 10L,11,0.026913914107269333
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,51,15531,010L,seccional 10L,11,0.003283755070504153
12,A601,HACEMOS POR CORDOBA,8357,15531,010L,seccional 10L,9,0.5380851200824158
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,43,15531,010L,seccional 10L,9,0.002768656235915266
14,P191,VECINALISMO INDEPENDIENTE,114,15531,010L,seccional 10L,9,0.007340158392891636
15,P200,PARTIDO UNION CIUDADANA,94,15531,010L,seccional 10L,9,0.006052411306419419
16,A300,MST - NUEVA IZQUIERDA,175,15531,010L,seccional 10L,9,0.011267787006631898
17,P40,MOVIMIENTO LIBRES DEL SUR,559,15531,010L,seccional 10L,9,0.03599253106689846
6,A500,CORDOBA CAMBIA,1530,7550,010I,seccional 10I,11,0.20264900662251656
7,P217,ENCUENTRO VECINAL CÓRDOBA,467,7550,010I,seccional 10I,11,0.06185430463576159
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),11,7550,010I,seccional 10I,11,0.001456953642384106
9,3,UNIÓN CÍVICA RADICAL,1623,7550,010I,seccional 10I,11,0.21496688741721853
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,394,7550,010I,seccional 10I,11,0.05218543046357616
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,21,7550,010I,seccional 10I,11,0.002781456953642384
12,A601,HACEMOS POR CORDOBA,2702,7550,010I,seccional 10I,9,0.35788079470198675
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,26,7550,010I,seccional 10I,9,0.003443708609271523
14,P191,VECINALISMO INDEPENDIENTE,131,7550,010I,seccional 10I,9,0.017350993377483442
15,P200,PARTIDO UNION CIUDADANA,57,7550,010I,seccional 10I,9,0.007549668874172186
16,A300,MST - NUEVA IZQUIERDA,168,7550,010I,seccional 10I,9,0.022251655629139073
17,P40,MOVIMIENTO LIBRES DEL SUR,399,7550,010I,seccional 10I,9,0.0528476821192053
6,A500,CORDOBA CAMBIA,1470,6154,007D,seccional 7D,11,0.23886902827429315
7,P217,ENCUENTRO VECINAL CÓRDOBA,334,6154,007D,seccional 7D,11,0.054273643158921026
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),9,6154,007D,seccional 7D,11,0.0014624634384140397
9,3,UNIÓN CÍVICA RADICAL,1338,6154,007D,seccional 7D,11,0.21741956451088723
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,429,6154,007D,seccional 7D,11,0.06971075723106922
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,19,6154,007D,seccional 7D,11,0.0030874228144296394
12,A601,HACEMOS POR CORDOBA,1899,6154,007D,seccional 7D,9,0.30857978550536236
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,18,6154,007D,seccional 7D,9,0.0029249268768280793
14,P191,VECINALISMO INDEPENDIENTE,82,6154,007D,seccional 7D,9,0.013324666883327917
15,P200,PARTIDO UNION CIUDADANA,52,6154,007D,seccional 7D,9,0.008449788755281119
16,A300,MST - NUEVA IZQUIERDA,183,6154,007D,seccional 7D,9,0.029736756581085474
17,P40,MOVIMIENTO LIBRES DEL SUR,311,6154,007D,seccional 7D,9,0.05053623659408515
6,A500,CORDOBA CAMBIA,474,3071,005I,seccional 5I,11,0.15434711820253988
7,P217,ENCUENTRO VECINAL CÓRDOBA,159,3071,005I,seccional 5I,11,0.05177466623249756
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),82,3071,005I,seccional 5I,11,0.026701400195376097
9,3,UNIÓN CÍVICA RADICAL,383,3071,005I,seccional 5I,11,0.12471507652230544
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,58,3071,005I,seccional 5I,11,0.018886356235753826
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,14,3071,005I,seccional 5I,11,0.004558775643112993
12,A601,HACEMOS POR CORDOBA,1686,3071,005I,seccional 5I,9,0.5490068381634646
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,11,3071,005I,seccional 5I,9,0.0035818951481602084
14,P191,VECINALISMO INDEPENDIENTE,29,3071,005I,seccional 5I,9,0.009443178117876913
15,P200,PARTIDO UNION CIUDADANA,16,3071,005I,seccional 5I,9,0.005210029306414849
16,A300,MST - NUEVA IZQUIERDA,28,3071,005I,seccional 5I,9,0.009117551286225985
17,P40,MOVIMIENTO LIBRES DEL SUR,116,3071,005I,seccional 5I,9,0.03777271247150765
6,A500,CORDOBA CAMBIA,2568,11914,008B,seccional 8B,11,0.21554473728386772
7,P217,ENCUENTRO VECINAL CÓRDOBA,657,11914,008B,seccional 8B,11,0.055145207319120364
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),34,11914,008B,seccional 8B,11,0.0028537854624811148
9,3,UNIÓN CÍVICA RADICAL,2420,11914,008B,seccional 8B,11,0.20312237703542052
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,493,11914,008B,seccional 8B,11,0.04137988920597616
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,26,11914,008B,seccional 8B,11,0.0021823065301326172
12,A601,HACEMOS POR CORDOBA,4653,11914,008B,seccional 8B,9,0.39054893402719487
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,27,11914,008B,seccional 8B,9,0.0022662413966761793
14,P191,VECINALISMO INDEPENDIENTE,141,11914,008B,seccional 8B,9,0.011834816182642269
15,P200,PARTIDO UNION CIUDADANA,104,11914,008B,seccional 8B,9,0.008729226120530469
16,A300,MST - NUEVA IZQUIERDA,197,11914,008B,seccional 8B,9,0.01653516870908175
17,P40,MOVIMIENTO LIBRES DEL SUR,533,11914,008B,seccional 8B,9,0.04473728386771865
6,A500,CORDOBA CAMBIA,3405,16294,012D,seccional 12D,11,0.20897262796121271
7,P217,ENCUENTRO VECINAL CÓRDOBA,885,16294,012D,seccional 12D,11,0.05431447158463238
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),133,16294,012D,seccional 12D,11,0.008162513808763962
9,3,UNIÓN CÍVICA RADICAL,2383,16294,012D,seccional 12D,11,0.14625015343071068
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,460,16294,012D,seccional 12D,11,0.028231250767153552
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,58,16294,012D,seccional 12D,11,0.0035595924880324047
12,A601,HACEMOS POR CORDOBA,7787,16294,012D,seccional 12D,9,0.47790597766048853
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,46,16294,012D,seccional 12D,9,0.0028231250767153555
14,P191,VECINALISMO INDEPENDIENTE,162,16294,012D,seccional 12D,9,0.009942310052780165
15,P200,PARTIDO UNION CIUDADANA,80,16294,012D,seccional 12D,9,0.004909782742113662
16,A300,MST - NUEVA IZQUIERDA,215,16294,012D,seccional 12D,9,0.013195041119430465
